Title,Actors,Country,Director,Genre,Language,Production,Rated,Released,Runtime_mins,Type,Writer,Year,imdbRating,imdbVotes,Wins,Nominated
Mediterranea,"Koudous Seihon, Pio Amato, Paolo Sciarretta, Alassane Sy","Italy, France, USA, Germany, Qatar",Jonas Carpignano,Drama,"French, Italian, English, Arabic",Unknown,NOT RATED,20 Nov 2015,107.0,movie,Jonas Carpignano,2015,6.5,1029,15,12
Crumbs,"Daniel Tadesse, Quino Piñero, Selam Tesfayie, Mengistu Berhanu","Spain, Ethiopia, Finland",Miguel Llansó,"Adventure, Fantasy, Mystery","Amharic, Afrikaans",IndiePix Films,NOT RATED,01 Nov 2015,68.0,movie,"Miguel Llansó, Daniel Worku (translation)",2015,6.0,349,3,10
Much Loved,"Loubna Abidar, Asmaa Lazrak, Halima Karaouane, Sara Elhamdi Elalaoui","France, Morocco",Nabil Ayouch,Drama,"Arabic, French",Unknown,NOT RATED,16 Sep 2015,104.0,movie,Nabil Ayouch,2015,6.2,1359,2,2
Little Mountain Boy,"Jonas Hartmann, Peter Jecklin, Julia Jeker, Herbert Leiser",Switzerland,Xavier Koller,"Adventure, Drama, Family","Swiss German, Swiss German",Unknown,NOT RATED,24 Mar 2016,100.0,movie,"Stefan Jäger, Xavier Koller",2015,6.9,174,1,1
The Laundryman,"Hsiao-chuan Chang, Sonia Sui, Regina Wan, Yann Yann Yeo",Taiwan,Chung Lee,"Comedy, Fantasy, Thriller",Mandarin,Unknown,NOT RATED,16 Oct 2015,110.0,movie,"Yu-Hsun Chen (screenplay), Chung Lee (screenplay), Chung Lee (story)",2015,6.1,201,0,8
Rosenwald,"Peter Ascoli, Julian Bond, Stephanie Deutsch, Richard J. Powell",USA,Aviva Kempner,"Documentary, Biography",English,Ciesla Foundation,NOT RATED,14 Aug 2015,95.0,movie,Aviva Kempner,2015,8.2,48,0,1
Navy Seals vs. Zombies,"Ed Quinn, Michael Dudikoff, Rick Fox, Chad Lail",USA,Stanton Barrett,"Action, Horror",English,Throne Productions,NOT RATED,08 Oct 2015,97.0,movie,"A.K. Waters (story by), Matthew Carpenter (screenplay by)",2015,3.3,1497,0,0
Full Out,"Ana Golja, Jennifer Beals, Sarah Fisher, Asha Bromfield","Canada, USA",Sean Cisterna,"Biography, Drama, Family",English,Carmel Creek Productions,NOT RATED,11 Sep 2015,90.0,movie,"Beth Iley (story editor), Willem Wennekers",2015,6.5,1144,0,0
Antarctica: Ice & Sky,"Claude Lorius, Michel Papineschi, Jacques-Yves Cousteau",France,Luc Jacquet,"Documentary, Adventure, Biography","French, English",Music Box Films,NOT RATED,21 Oct 2015,89.0,movie,Luc Jacquet (scenario),2015,6.8,375,1,4
Hollywood Adventures,"Wei Zhao, Xiaoming Huang, Dawei Tong, Sarah Yan Li","USA, Hong Kong, China",Timothy Kendall,"Action, Adventure, Comedy","Mandarin, English",Beijing Enlight Pictures Co.,NOT RATED,26 Jun 2015,114.0,movie,"Brice Beckham (screenplay by), David Fickas (screenplay by), Justin Lin (screenplay by), Philip W. Chung (screenplay by), Alfredo Botello (screenplay by), Brice Beckham (story by), David Fickas (story by), Justin Lin (story by)",2015,5.3,446,0,0
